2026-01-18 09:04:48 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: b73a3247
2026-01-18 09:04:48 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant b73a3247: score=511, prob=0.3, risk=Medium, response_time=4.80ms
2026-01-18 09:04:48 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "b73a3247", "credit_score": 511, "default_probability": 0.3, "risk_level": "Medium", "response_time_ms": 4.8, "input": {"grade_numeric": 1.0, "int_rate": 14.6, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.08399999999999999, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 09:04:54 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: 37f85ed4
2026-01-18 09:04:54 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant 37f85ed4: score=483, prob=0.54, risk=Medium, response_time=4.74ms
2026-01-18 09:04:54 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "37f85ed4", "credit_score": 483, "default_probability": 0.54, "risk_level": "Medium", "response_time_ms": 4.74, "input": {"grade_numeric": 1.0, "int_rate": 22.8, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.08399999999999999, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 09:05:17 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: 6b57ae7a
2026-01-18 09:05:17 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant 6b57ae7a: score=562, prob=0.07, risk=Medium, response_time=2.69ms
2026-01-18 09:05:17 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "6b57ae7a", "credit_score": 562, "default_probability": 0.07, "risk_level": "Medium", "response_time_ms": 2.69, "input": {"grade_numeric": 1.0, "int_rate": 13.3, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.033600000000000005, "loan_to_income": 0.12, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 125000.0, "credit_history_months": 120.0}}
2026-01-18 09:17:16 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: test_high_loan
2026-01-18 09:17:16 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant test_high_loan rejected: ['Loan amount $50,000 exceeds maximum ($40,000)']
2026-01-18 09:17:28 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: test_high_loan
2026-01-18 09:17:28 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant test_high_loan: score=563, prob=0.07, risk=Medium, response_time=11.69ms
